Party,Name,Branch,Username,ids
Republican,Jake Ellzey,House,RepEllzey,1366523868253458437
Republican,Anthony Gonzalez,House,RepAGonzalez,1054381765224210432
Republican,Jay Obernolte,House,JayObernolte,272482466
Democratic,Dick Durbin,Senate,SenatorDurbin,247334603
Democratic,Alan Lowenthal,House,RepLowenthal,1055730738
Republican,Scott DesJarlais,House,DesJarlaisTN04,235312723
Democratic,Adam Schiff,House,RepAdamSchiff,29501253
Republican,Maria Elvira Salazar,House,MaElviraSalazar,40282700
Republican,Mo Brooks,House,RepMoBrooks,237299871
Democratic,Teresa Leger Fernandez,House,RepTeresaLF,1345147845926670337
Democratic,Bill Keating,House,USRepKeating,232992031
Democratic,Diana DeGette,House,RepDianaDeGette,28599820
Republican,John Thune,Senate,SenJohnThune,296361085
Democratic,Lizzie Pannill Fletcher,House,RepFletcher,1075904377221722113
Republican,Byron Donalds,House,RepDonaldsPress,1343968646050283522
Republican,Jim Banks,House,RepJimBanks,816131319033950208
Republican,Tracey Mann,House,RepMann,1345825008887721986
Democratic,Sharice Davids,House,RepDavids,1080516116395499522
Republican,Austin Scott,House,AustinScottGA08,234797704
Republican,Dan Bishop,House,RepDanBishop,1176522535531360257
Republican,Chuck Fleischmann,House,RepChuck,235190657
Republican,Mitt Romney,Senate,SenatorRomney,1078693601356509184
Democratic,Yvette Clarke,House,RepYvetteClarke,240812994
Republican,Matt Gaetz,House,RepMattGaetz,818948638890217473
Democratic,Jackie Speier,House,RepSpeier,24913074
Democratic,Judy Chu,House,RepJudyChu,193732179
Republican,Jeff Duncan,House,RepJeffDuncan,240393970
Republican,Lisa Murkowski,Senate,lisamurkowski,18061669
Republican,Bill Hagerty,Senate,SenatorHagerty,1346873610875654147
Democratic,Marilyn Strickland,House,RepStricklandWA,1343646545955213312
Democratic,Jimmy Panetta,House,RepJimmyPanetta,796736612554117120
Democratic,Juan Vargas,House,RepJuanVargas,1260172386
Republican,Marco Rubio,Senate,SenRubioPress,229966028
Republican,Blake Moore,House,RepBlakeMoore,1337452596093587462
Republican,Kat Cammack,House,RepKatCammack,1344325638983987201
Republican,Adam Kinzinger,House,RepKinzinger,219429281
Democratic,Kim Schrier,House,RepKimSchrier,1080462532815532032
Republican,Brian Babin,House,RepBrianBabin,2929491549
Democratic,Cory Booker,Senate,SenBooker,2167097881
Democratic,Seth Moulton,House,RepMoulton,3091316093
Democratic,Jon Ossoff,Senate,SenOssoff,1356714265894408196
Republican,David Joyce,House,RepDaveJoyce,976969338
Democratic,Derek Kilmer,House,RepDerekKilmer,1058917562
Democratic,Bennie Thompson,House,BennieGThompson,82453460
Democratic,Bill Pascrell,House,BillPascrell,74508260
Republican,Chuck Grassley,Senate,ChuckGrassley,10615232
Republican,Roger Williams,House,RepRWilliams,1077446982
Democratic,Raphael Warnock,Senate,SenatorWarnock,1352287997853622273
Democratic,Albio Sires,House,RepSires,18696134
Republican,Mike Gallagher,House,RepGallagher,815966620300480514
Democratic,Mark Takano,House,RepMarkTakano,1037321378
Democratic,Chrissy Houlahan,House,RepHoulahan,1052896620797460481
Democratic,Amy Klobuchar,Senate,SenAmyKlobuchar,22044727
Democratic,Elissa Slotkin,House,RepSlotkin,1078401427347857408
Democratic,Dianne Feinstein,Senate,SenFeinstein,476256944
Republican,Elise Stefanik,House,RepStefanik,2962813893
Republican,Mark Amodei,House,MarkAmodeiNV2,402719755
Republican,Jason Smith,House,JasonSmith014,1110153360
Republican,Thom Tillis,Senate,SenThomTillis,2964174789
Republican,Diana Harshbarger,House,RepHarshbarger,1345787285179162624
Republican,Tommy Tuberville,Senate,SenTuberville,1345739193721487362
Democratic,Debbie Wasserman Schultz,House,RepDWStweets,1140648348
Republican,Lisa McClain,House,RepLisaMcClain,1344032292432437248
